Experiment,Species,total,expected_log2fc,median_log2fc,log2fc_bias,log2fc_std,iqr_outliers_at_cv20,cv20,p_adj_05,p_adj_05_at_fc_threshold
E10H50Y40_vs_E40H50Y10,ECOLI,5270,2.0,1.9285507,-0.07144928,0.39250633,222,3587,5137,5136
E10H50Y40_vs_E40H50Y10,HUMAN,114723,0.0,-0.016918182,-0.016918182,0.3510049,3744,74963,15422,5090
E10H50Y40_vs_E40H50Y10,YEAST,40045,-2.0,-1.8738441,0.12615585,0.3651177,1063,26111,38914,38905
E20H50Y30_vs_E30H50Y20,ECOLI,7572,0.5849625,0.35511684,-0.22984564,0.40092322,38,4822,3024,1828
E20H50Y30_vs_E30H50Y20,HUMAN,112457,0.0,-0.3365898,-0.3365898,0.41541073,661,71755,43094,21670
E20H50Y30_vs_E30H50Y20,YEAST,48700,-0.5851068,-0.79821205,-0.21310526,0.39719725,234,32139,34702,29518
E5H50Y45_vs_E45H50Y5,ECOLI,3196,3.169925,3.2075243,0.037599325,0.5322352,106,1984,3166,3165
E5H50Y45_vs_E45H50Y5,HUMAN,109712,0.0,0.072701454,0.072701454,0.41326818,4250,70617,16794,5765
E5H50Y45_vs_E45H50Y5,YEAST,29734,-3.1700692,-2.8980446,0.27202463,0.45363843,1005,18547,29404,29396
